order,list,item,cond,target_position,prepositions,order_of_mention,target_number,comp_number,context,firstDisplay,secondDisplay,expTrials,pair_ID,comp_unique_ID1,animacy_cong,target_gender,comp1_animacy,target,competitor,recordingName
36,3,3,1,1,next-to,1,plural,singular,The girls are next to the armchair and they are on Number 1.,E03_1_1.jpg,E03_1_2.jpg,Y,9,3,different,fem,inanimate,girl,armchair,Y_List3_Order36_Item_3_Cond1
36,4,3,3,1,next-to,1,plural,plural,The girls are next to the armchairs and they are on Number 1.,E03_3_1.jpg,E03_3_2.jpg,Y,9,3,different,fem,inanimate,girl,armchairs,Y_List4_Order36_Item_3_Cond3
37,1,X56,9,,,2,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N,,,,,,Viking,above,N_List1_Order37_Item_X56_Cond9
37,2,X56,9,,,2,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N,,,,,,Viking,above,N_List2_Order37_Item_X56_Cond9
37,3,X56,9,,,2,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N,,,,,,Viking,above,N_List3_Order37_Item_X56_Cond9
37,4,X56,9,,,2,singlar,,The cards are below the Viking and they are on Number 4.,X56_9_1.jpg,X56_9_2.jpg,N,,,,,,Viking,above,N_List4_Order37_Item_X56_Cond9
38,1,X17,9,,,1,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N,,,,,,chef,on,N_List1_Order38_Item_X17_Cond9
38,2,X17,9,,,1,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N,,,,,,chef,on,N_List2_Order38_Item_X17_Cond9
38,3,X17,9,,,1,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N,,,,,,chef,on,N_List3_Order38_Item_X17_Cond9
38,4,X17,9,,,1,singlar,singular,The chef is on the same row as the charger and he is on Number 4.,X17_9_1.jpg,X17_9_2.jpg,N,,,,,,chef,on,N_List4_Order38_Item_X17_Cond9
39,1,18,3,3,above,1,plural,plural,The nurses are above the passports and they are on Number 3.,E18_3_1.jpg,E18_3_2.jpg,Y,37,10,different,fem,inanimate,nurse,passports,Y_List1_Order39_Item_18_Cond3
39,2,18,1,3,above,1,plural,singular,The nurses are above the passport and they are on Number 3.,E18_1_1.jpg,E18_1_2.jpg,Y,37,10,different,fem,inanimate,nurse,passport,Y_List2_Order39_Item_18_Cond1
